t_sec,xVest_m,yVest_m,zVest_m,omegaXVest_degPSec,omegaYVest_degPSec,omegaZVest_degPSec,xVis_m,yVis_m,zVis_m,xVisDot_mPSec,yVisDot_mPSec,zVisDot_mPSec,omegaXVis_degPSec,omegaYVis_degPSec,omegaZVis_degPSec,g_xvis,g_yvis,g_zvis,g,Pos ON,Vel ON,AngVel ON,G ON,Sickness,thetaXVest_deg,thetaYVest_deg,thetaZVest_deg,thetaXVis_deg,thetaYVis_deg,thetaZVis_deg
0.331512,-0.3324931,-0.5534194,1.071352,4.322776,-4.400664,2.523706,0.2744287,0.4138883,-1.591352,-0.03998592,0.01993844,-0.01029904,-4.322776,4.400664,-2.523706,0, 0, -1, 1, 1, 1, 1, 1,0,7.429565,-0.5907593,-114.7054,7.429565,-0.5907593,-114.7054
0.3434804,-0.3320475,-0.5536985,1.071478,0.6731594,-3.80437,4.385098,0.2739832,0.4141675,-1.591478,-0.03999448,0.0250544,-0.01129936,-0.6731594,3.80437,-4.385098,0, 0, -1, 1, 1, 1, 1, 1,0,7.437622,-0.6362915,-114.6529,7.437622,-0.6362915,-114.6529
0.3544504,-0.3315887,-0.5539805,1.071528,-1.969594,-4.097757,4.89547,0.2735244,0.4144495,-1.591528,-0.04127919,0.02537246,-0.004483487,1.969594,4.097757,-4.89547,0, 0, -1, 1, 1, 1, 1, 1,0,7.416016,-0.6812439,-114.5992,7.416016,-0.6812439,-114.5992
0.3654211,-0.3311819,-0.5542651,1.071575,-6.086436,-2.99871,7.021099,0.2731176,0.4147341,-1.591575,-0.03612098,0.02527145,-0.004202206,6.086436,2.99871,-7.021099,0, 0, -1, 1, 1, 1, 1, 1,0,7.349243,-0.7141418,-114.5222,7.349243,-0.7141418,-114.5222
0.376392,-0.3307443,-0.5546231,1.071584,-7.983434,-2.139115,7.804015,0.27268,0.4150921,-1.591584,-0.03888204,0.03181209,-0.0007520089,7.983434,2.139115,-7.804015,0, 0, -1, 1, 1, 1, 1, 1,0,7.261658,-0.7376099,-114.4365,7.261658,-0.7376099,-114.4365
0.3873624,-0.3302713,-0.5550138,1.071478,-11.97291,0.6286893,8.743232,0.2722069,0.4154828,-1.591478,-0.04225301,0.03489494,0.009434517,11.97291,-0.6286893,-8.743232,0, 0, -1, 1, 1, 1, 1, 1,0,7.13031,-0.7307129,-114.3406,7.13031,-0.7307129,-114.3406
0.3993305,-0.329912,-0.5553337,1.071418,-11.65054,1.453449,8.616146,0.2718476,0.4158027,-1.591418,-0.03217775,0.02865464,0.005402105,11.65054,-1.453449,-8.616146,0, 0, -1, 1, 1, 1, 1, 1,0,6.990875,-0.7133179,-114.2375,6.990875,-0.7133179,-114.2375
0.4103014,-0.3295669,-0.5557861,1.071203,-17.12683,5.468791,10.53146,0.2715025,0.4162551,-1.591203,-0.0304108,0.03985969,0.01888726,17.12683,-5.468791,-10.53146,0, 0, -1, 1, 1, 1, 1, 1,0,6.802979,-0.6533203,-114.122,6.802979,-0.6533203,-114.122
0.4212718,-0.3292078,-0.5560793,1.071015,-16.91063,8.214687,11.45828,0.2711435,0.4165483,-1.591015,-0.03159557,0.02580515,0.01662649,16.91063,-8.214687,-11.45828,0, 0, -1, 1, 1, 1, 1, 1,0,6.617462,-0.5632019,-113.9963,6.617462,-0.5632019,-113.9963
0.43324,-0.3288636,-0.5563597,1.070853,-15.27128,7.313081,9.524471,0.2707992,0.4168287,-1.590853,-0.03051291,0.024852,0.0143385,15.27128,-7.313081,-9.524471,0, 0, -1, 1, 1, 1, 1, 1,0,6.434692,-0.4756775,-113.8823,6.434692,-0.4756775,-113.8823
